Grupo_Raiz,Subgrupo,Tarea_ID,Tarea_Nombre,Dependencia,Recurso,Dia,Bloque_ID,Index_Absoluto
Ingeniería de Computación,4,FEL04304,Fundamentos de Electrónica,PROF_FISICA_X,No_Asignado,Martes,1,11
Ingeniería de Computación,4,FEL04304,Fundamentos de Electrónica,PROF_FISICA_X,No_Asignado,Martes,2,12
Ingeniería de Computación,4,FEL04304,Fundamentos de Electrónica,PROF_FISICA_X,No_Asignado,Martes,3,13
Ingeniería de Computación,4,FEL04304,Fundamentos de Electrónica,PROF_FISICA_X,No_Asignado,Martes,4,14
Ingeniería de Computación,4,PRO04405,Programación III,PROF_COMP_AVANZADA,lab_computacion,Jueves,5,35
Ingeniería de Computación,4,PRO04405,Programación III,PROF_COMP_AVANZADA,lab_computacion,Jueves,6,36
Ingeniería de Computación,4,PRO04405,Programación III,PROF_COMP_AVANZADA,lab_computacion,Jueves,7,37
Ingeniería de Computación,4,PRO04405,Programación III,PROF_COMP_AVANZADA,lab_computacion,Jueves,8,38
Ingeniería de Computación,4,PRO04405,Programación III,PROF_COMP_AVANZADA,lab_computacion,Viernes,9,49
