Grupo_Raiz,Subgrupo,Tarea_ID,Tarea_Nombre,Dependencia,Recurso,Dia,Bloque_ID,Index_Absoluto
Ingeniería de Computación,1,EFS01202,Educación Física Y Salud,PROF_DEPORTES,No_Asignado,Martes,1,11
Ingeniería de Computación,1,EFS01202,Educación Física Y Salud,PROF_DEPORTES,No_Asignado,Martes,2,12
Ingeniería de Computación,1,GAN01404,Geometría Analítica,PROF_CIENCIAS_A,No_Asignado,Miércoles,5,25
Ingeniería de Computación,1,GAN01404,Geometría Analítica,PROF_CIENCIAS_A,No_Asignado,Miércoles,6,26
Ingeniería de Computación,1,GAN01404,Geometría Analítica,PROF_CIENCIAS_A,No_Asignado,Viernes,5,45
Ingeniería de Computación,1,GAN01404,Geometría Analítica,PROF_CIENCIAS_A,No_Asignado,Viernes,6,46
Ingeniería de Computación,1,LOG01404,Lógica,PROF_COMP_LOGICA,No_Asignado,Miércoles,1,21
Ingeniería de Computación,1,LOG01404,Lógica,PROF_COMP_LOGICA,No_Asignado,Viernes,0,40
Ingeniería de Computación,1,LOG01404,Lógica,PROF_COMP_LOGICA,No_Asignado,Viernes,1,41
Ingeniería de Computación,1,LOG01404,Lógica,PROF_COMP_LOGICA,No_Asignado,Viernes,2,42
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Martes,3,13
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Martes,4,14
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Jueves,1,31
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Jueves,2,32
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Jueves,3,33
Ingeniería de Computación,1,MAI01506,Matemática I,PROF_CIENCIAS_B,No_Asignado,Jueves,4,34
Ingeniería de Computación,1,VEC01202,Venezuela Contemporánea,PROF_HUMANIDADES,No_Asignado,Miércoles,0,20
Ingeniería de Computación,1,VEC01202,Venezuela Contemporánea,PROF_HUMANIDADES,No_Asignado,Miércoles,2,22
