Grupo_Raiz,Subgrupo,Tarea_ID,Tarea_Nombre,Dependencia,Recurso,Dia,Bloque_ID,Index_Absoluto
Ingeniería de Computación,2,ALI02304,Álgebra Lineal,PROF_CIENCIAS_A,No_Asignado,Lunes,6,6
Ingeniería de Computación,2,ALI02304,Álgebra Lineal,PROF_CIENCIAS_A,No_Asignado,Miércoles,5,25
Ingeniería de Computación,2,ALI02304,Álgebra Lineal,PROF_CIENCIAS_A,No_Asignado,Miércoles,6,26
Ingeniería de Computación,2,ALI02304,Álgebra Lineal,PROF_CIENCIAS_A,No_Asignado,Miércoles,7,27
Ingeniería de Computación,2,CIN02303,Creatividad E Inventiva,PROF_HUMANIDADES,No_Asignado,Miércoles,2,22
Ingeniería de Computación,2,CIN02303,Creatividad E Inventiva,PROF_HUMANIDADES,No_Asignado,Viernes,1,41
Ingeniería de Computación,2,CIN02303,Creatividad E Inventiva,PROF_HUMANIDADES,No_Asignado,Viernes,2,42
Ingeniería de Computación,2,FIS02405,Física I,PROF_FISICA_X,No_Asignado,Miércoles,0,20
Ingeniería de Computación,2,FIS02405,Física I,PROF_FISICA_X,No_Asignado,Miércoles,1,21
Ingeniería de Computación,2,FIS02405,Física I,PROF_FISICA_X,No_Asignado,Miércoles,3,23
Ingeniería de Computación,2,FIS02405,Física I,PROF_FISICA_X,No_Asignado,Miércoles,4,24
Ingeniería de Computación,2,FIS02405,Física I,PROF_FISICA_X,No_Asignado,Jueves,4,34
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Lunes,5,5
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Jueves,0,30
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Jueves,1,31
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Jueves,2,32
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Jueves,3,33
Ingeniería de Computación,2,MAI02506,Matemática II,PROF_CIENCIAS_B,No_Asignado,Jueves,5,35
Ingeniería de Computación,2,PRO02305,Programación I,PROF_COMP_ALGO,lab_computacion,Lunes,0,0
Ingeniería de Computación,2,PRO02305,Programación I,PROF_COMP_ALGO,lab_computacion,Lunes,1,1
Ingeniería de Computación,2,PRO02305,Programación I,PROF_COMP_ALGO,lab_computacion,Lunes,2,2
Ingeniería de Computación,2,PRO02305,Programación I,PROF_COMP_ALGO,lab_computacion,Lunes,3,3
Ingeniería de Computación,2,PRO02305,Programación I,PROF_COMP_ALGO,lab_computacion,Lunes,4,4
